"","mean","sd"
"theta[170]",0.466317041362746,0.123993944659994
"theta[171]",-0.193634108093516,0.107036428618478
"theta[172]",-0.212752193946309,0.103734746808166
"theta[173]",1.16794606068362,0.178051549563454
"theta[174]",-0.947020007509772,0.115656013169553
"theta[175]",0.175783829534105,0.114870437874563
"theta[176]",0.824260813837942,0.144824177855528
"theta[177]",0.490282202035652,0.126354413605746
"theta[178]",0.855834043625818,0.145556868290553
"theta[179]",0.710563611722507,0.137642315386438
"theta[180]",0.70969317198625,0.139518414165125
"theta[181]",0.736984012454515,0.137452131521873
"theta[182]",0.998616751618102,0.153224121778339
"theta[183]",0.741248044864753,0.138997014901614
"theta[184]",0.0559479446860439,0.109318356192058
"theta[185]",0.557402625468568,0.131013865715404
"theta[186]",1.82702664752787,0.269644544036719
"theta[187]",0.212472765833203,0.116779242397783
"theta[188]",-1.00981375705092,0.11863881350913
"theta[189]",-2.52763129789722,0.263455917776553
"theta[190]",-1.62051281016008,0.156561073219625
"theta[191]",0.444714092081804,0.126169154667994
"theta[192]",-0.44751330365721,0.108528509916074
"theta[193]",0.196240491752206,0.116700216728529
"theta[194]",-2.78359465769221,0.325935060868687
"theta[195]",0.924841581802402,0.152626587288726
"theta[196]",-1.07104660052843,0.123945651882835
"theta[197]",0.190991691310356,0.113033798543971
"theta[198]",-0.96043371736248,0.117067628187667
"theta[199]",0.287462273884849,0.116774562508451
"theta[200]",1.12576029811896,0.17304866038717
"theta[201]",-0.443255857200315,0.106325893143947
"theta[202]",-1.01758244714346,0.122293783980114
"theta[203]",0.324339493893922,0.118451730454133
"theta[204]",0.575509965312144,0.130699493586102
"theta[205]",0.766219369505041,0.140518652661837
"theta[206]",0.248238430456694,0.119430213345776
"theta[207]",-0.346304436671233,0.109699507281214
"theta[208]",0.682471204383742,0.133859098469018
"theta[209]",0.998167367911724,0.158393286654925
"theta[210]",0.998476425693742,0.16297018582716
"theta[211]",-1.47938618275619,0.143518538115827
"theta[212]",-1.08631891744138,0.120152200811262
"theta[213]",-1.96078748947348,0.182563397213196
"theta[214]",0.655549447144907,0.133991662886407
"theta[215]",1.21199826629212,0.176691019494356
"theta[216]",-1.75921185214876,0.170608221069951
"theta[217]",-0.521572172216639,0.106751670020584
"theta[218]",-1.59205636365477,0.15208094264495
"theta[219]",-2.78139108215431,0.316499567952358
"theta[220]",0.32463932973747,0.115202101077314
"theta[221]",-0.595354558954038,0.109168003470635
"theta[222]",-1.01773344981143,0.117082397658208
"theta[223]",0.92650250385385,0.150739732979046
"theta[224]",0.402079897557444,0.116598107936761
"theta[225]",-0.213928348058418,0.109382571082
"theta[226]",0.800198384758306,0.138826287615555
"theta[227]",0.63145540238068,0.131593350334286
"theta[228]",0.230232164208499,0.114885650919786
"theta[229]",-1.43054363556779,0.139965470333034
"theta[230]",-0.145897227299668,0.10824148711675
"theta[231]",0.966131525249055,0.155815238453811
"theta[232]",0.467599617835732,0.124794245304991
"theta[233]",-1.18339822811428,0.129228910661753
"theta[234]",-0.816108060056953,0.11264722167772
"theta[235]",0.44312508282573,0.124385343684204
"theta[236]",0.584462333484599,0.132758761278319
"theta[237]",-1.48346171739762,0.143199780210154
"theta[238]",0.70954666564596,0.137289143491495
"theta[239]",1.22004013542756,0.182604066457365
"theta[240]",0.605187879850209,0.12681903157936
"theta[241]",-0.451445267549134,0.106198340160526
"theta[242]",0.556956852165706,0.127086265792859
"theta[243]",-0.480517386067431,0.106938518173398
"theta[244]",-0.929384486528955,0.113987055091584
"theta[245]",1.12268386307079,0.173003221259097
"theta[246]",-1.723458724581,0.159555019749897
"theta[247]",-0.0755224455073106,0.1077656829581
"theta[248]",-0.0254940661765499,0.108322989510132
"theta[249]",0.961080705219636,0.15395186426327
"theta[250]",-0.746689828825991,0.112329600190611
"theta[251]",-2.79789311081608,0.313145271189329
"theta[252]",0.265306936713403,0.118099150937141
"theta[253]",0.766620049463106,0.14255562250914
"theta[254]",-0.150122557974241,0.108661453687038
"theta[255]",-1.20365268542039,0.12790387004563
"theta[256]",0.211789266279248,0.115278163270811
"theta[257]",-1.26927937495637,0.128222575487019
"theta[258]",-0.596619723366837,0.109376740832555
"theta[259]",0.32300321201375,0.118118836066056
"theta[260]",-0.0905748475017334,0.107823674274587
"theta[261]",1.17057702044541,0.180751317944434
"theta[262]",-0.418565320132343,0.104717722868643
"theta[263]",0.581376372923047,0.126609864224612
"theta[264]",0.262091919095273,0.118831088349633
"theta[265]",1.60515581803138,0.234264707738181
"theta[266]",0.384915817624592,0.121838185985973
"theta[267]",-0.348003864159166,0.108187852599339
"theta[268]",0.581223079322973,0.130264120524358
"theta[269]",-0.22730659623596,0.107448661800546
"theta[270]",1.21275592811382,0.17646540570717
"theta[271]",-0.166182843289566,0.109425733715431
"theta[272]",0.41803957926907,0.121562050593867
"theta[273]",0.559345403776081,0.129307277192185
"theta[274]",0.768866586052214,0.142904235588239
"theta[275]",0.0861261322167092,0.111153656853107
"theta[276]",0.578758899745814,0.130064655481475
"theta[277]",-1.7592999403436,0.173975040180322
"theta[278]",-0.0668978530958121,0.110036021596213
"theta[279]",-2.19230415548129,0.214558030525181
"theta[280]",-1.96861309235395,0.180842487027524
"theta[281]",0.440964449190533,0.121704135733836
"theta[282]",0.250554783266561,0.116299231738391
"theta[283]",-1.91960333503879,0.184365957547402
"theta[284]",-0.388380752404298,0.107666221453514
"theta[285]",0.770204852873035,0.139817026111873
"theta[286]",1.52707004402811,0.213211500028969
"theta[287]",0.856855528400089,0.147531728468899
"theta[288]",0.772498759243585,0.143202039099982
"theta[289]",0.267761925640945,0.114736510431692
"theta[290]",1.16632200274963,0.176194686647856
"theta[291]",0.488080424747159,0.128537401665283
"theta[292]",1.60738360030231,0.228434140699486
"theta[293]",0.926403083239808,0.150829103494935
"theta[294]",0.65678947778704,0.134436120011466
"theta[295]",1.71333021670024,0.247275199467272
"theta[296]",0.283829710615178,0.115668007470833
"theta[297]",-0.121862027222145,0.10769836621531
"theta[298]",1.45820884232219,0.21193798840947
"theta[299]",2.10688260911679,0.33021746623418
"theta[300]",0.823007567138134,0.146361134724166
"theta[301]",0.0909257757043399,0.111253599620485
"theta[302]",0.446559811035923,0.125278166626345
"theta[303]",-0.799259068089118,0.111390998694563
"theta[304]",0.323289268830533,0.120336793417188
"theta[305]",-1.75678084415698,0.16246945441445
"theta[306]",-0.536231449642212,0.10827544649976
"theta[307]",-0.718749167727601,0.111269262573607
"theta[308]",0.929544506581459,0.155355733427886
"theta[309]",-0.0122391294844609,0.107848771355821
"theta[310]",0.0896823186055609,0.113789685546563
"theta[311]",0.323534158041119,0.117076633801879
"theta[312]",0.342281858256014,0.118173456496751
"theta[313]",0.898214436622329,0.149090770102876
"theta[314]",-0.115734395437864,0.107473522349328
"theta[315]",-0.00828510172545654,0.109341602980545
"theta[316]",0.684216210434637,0.139117877633821
"theta[317]",1.81283164220583,0.266570440932868
"theta[318]",0.683648907952435,0.134571960248271
"theta[319]",0.244261498176742,0.116134881915203
"theta[320]",0.510098459127892,0.125216544724984
"theta[321]",0.468367559413048,0.123596412153265
"theta[322]",1.53169874617926,0.215952551140349
"theta[323]",0.42603116882382,0.121909055358527
"theta[324]",0.826076101510717,0.146820974478325
"theta[325]",-0.0410976599862391,0.105148186640888
"theta[326]",1.44936361160761,0.211874632077589
"theta[327]",2.11456297903061,0.335027741598826
"theta[328]",1.61379997251226,0.234556752046278
"theta[329]",1.82131705495894,0.267092848289595
"theta[330]",-0.996231723393152,0.11582144076808
"theta[331]",1.03677326963117,0.159757409887499
"theta[332]",1.17163668186623,0.174050332557449
"theta[333]",0.582652823754108,0.131291817493705
"theta[334]",-2.06797376689361,0.196519821391047
"theta[335]",1.44729357450157,0.210052178322042
