"","target","Item Difficulty","Discrimination","Standard Error","Information-Weighted Mean Square","Information-Weighted Z","Outlier-Sensitive Mean Square","Outlier-Sensitive Z","Log10 Contextual Diversity","Age of Acquisition","Number of Phonemes","slide_num"
"65","fireman",0.059,1.258,0.128,1.17,2.2,1.11,0.62,2.025,5.05,6,118
"66","fireplace",0.407,1.258,0.127,0.98,-0.32,0.86,-0.63,2.279,7.37,7,54
"67","fish",-1.555,1.258,0.161,0.89,-0.89,0.95,-0.07,3.233,4.05,3,92
"68","flashlight",0.137,1.258,0.127,0.89,-1.61,0.77,-1.2,2.324,5.61,7,89
"69","flower",-0.841,1.258,0.14,0.95,-0.45,1.06,0.37,2.799,3.11,6,165
"70","foot",-0.793,1.258,0.139,1.25,2.46,1.39,1.82,3.313,3.44,3,42
"71","football",-1.042,1.258,0.145,1,0.08,0.92,-0.3,2.907,4.84,6,27
"72","fork",-1.016,1.258,0.145,1.07,0.73,1.21,0.95,2.501,3.63,4,34
"73","frog",-0.242,1.258,0.13,0.9,-1.28,0.81,-1.04,2.435,4.32,4,81
"74","garage",0.541,1.258,0.127,1.16,2.26,1.08,0.42,2.912,5.26,5,36
"75","ghost",-0.346,1.258,0.131,0.91,-1.16,0.84,-0.86,2.884,5.06,4,15
"76","glass",-0.41,1.258,0.132,1.01,0.11,1.26,1.41,3.265,4.47,4,33
"77","glove",-0.388,1.258,0.132,0.92,-0.93,0.8,-1.12,2.528,4.3,4,84
"78","goat",-0.746,1.258,0.138,0.84,-1.78,0.79,-1.09,2.53,5.21,3,91
"79","grapes",-0.865,1.258,0.141,0.9,-1.05,0.82,-0.86,2.14,3.94,4,24
"80","hair",-0.915,1.258,0.142,1.17,1.69,1.24,1.11,3.56,3.17,3,133
"81","hammer",-1.314,1.258,0.153,1.19,1.62,1.02,0.15,2.598,5.42,5,160
"82","hand",-1.687,1.258,0.165,0.81,-1.56,0.75,-0.71,3.745,2.74,4,30
"83","harp",0.522,1.258,0.127,1.09,1.31,1.4,1.66,1.914,7.55,4,184
"84","hat",-1.463,1.258,0.158,1.04,0.35,0.84,-0.49,3.238,3.33,3,169
"85","heart",-1.462,1.258,0.158,0.96,-0.29,0.69,-1.11,3.661,5.17,4,175
"86","helicopter",0.522,1.258,0.127,1.04,0.54,0.99,0.02,2.654,5.26,10,77
"87","horse",-1.286,1.258,0.152,0.85,-1.33,0.73,-1.04,3.198,4.15,4,116
"88","hose",-0.431,1.258,0.133,0.9,-1.22,0.83,-0.92,2.471,5.33,3,150
"89","house",-1.094,1.258,0.147,1.09,0.86,0.95,-0.14,3.781,3.16,3,143
"90","iron",-0.453,1.258,0.133,1.04,0.53,0.92,-0.37,2.794,7.32,4,64
"91","key",-1.825,1.258,0.17,0.69,-2.56,0.38,-2.22,3.336,3.58,2,117
"92","king",-1.314,1.258,0.153,1.03,0.32,0.85,-0.52,3.228,5.42,3,40
"93","kitchen",-0.474,1.258,0.133,1.05,0.64,1.55,2.63,3.259,3.68,5,123
"94","kite",-0.475,1.258,0.133,0.94,-0.64,0.73,-1.57,1.886,4.58,3,166
"95","knife",-0.745,1.258,0.138,1.04,0.42,1.37,1.75,3.099,4.15,3,48
"96","lamp",-0.676,1.258,0.137,0.91,-0.97,0.77,-1.22,2.585,4,4,58
"97","leaf",-0.746,1.258,0.138,0.99,-0.07,0.8,-1.04,2.338,4.6,3,136
"98","letter",-0.325,1.258,0.131,1.12,1.43,1.37,1.91,3.245,4.74,5,113
"99","lion",-0.388,1.258,0.132,0.99,-0.11,0.97,-0.1,2.517,4.42,4,32
"100","man",-1.403,1.258,0.156,1.2,1.61,1.25,0.92,3.906,3.11,3,153
"101","map",-0.201,1.258,0.13,0.98,-0.25,0.79,-1.17,2.906,5.6,3,72
"102","microscope",1.772,1.258,0.153,0.92,-0.85,0.78,-0.56,2.017,9.16,9,74
"103","monkey",-0.89,1.258,0.142,0.98,-0.22,1.03,0.23,2.894,4.21,5,189
"104","mountain",0.04,1.258,0.128,1.08,1.08,1.18,0.93,2.947,6.15,6,138
"105","mustache",0.33,1.258,0.127,0.97,-0.44,0.83,-0.78,2.2504,7.63,6,140
"106","nail",-0.915,1.258,0.142,1.03,0.31,0.9,-0.44,2.852,5.42,3,144
"107","necklace",0.695,1.258,0.128,0.88,-1.85,0.72,-1.22,2.447,5,6,156
"108","nose",-1.686,1.258,0.165,0.97,-0.18,1.25,0.82,3.328,2.95,3,114
"109","nurse",-0.676,1.258,0.137,0.8,-2.35,0.68,-1.8,3.041,5.84,4,186
"110","octopus",0.772,1.258,0.129,0.99,-0.06,1,0.1,1.813,6.26,7,180
"111","owl",-0.841,1.258,0.14,0.94,-0.62,0.8,-0.97,2.14,6.21,2,85
"112","pear",-0.63,1.258,0.136,1.12,1.34,1.28,1.42,1.653,4,3,179
"113","pen",-0.841,1.258,0.14,1.09,0.96,1.33,1.54,2.912,5.11,3,18
"114","pencil",-0.965,1.258,0.143,1.06,0.58,1.39,1.69,2.593,4.06,6,148
"115","piano",-0.63,1.258,0.136,1.04,0.5,1.15,0.8,2.777,5.5,5,171
"116","pie",-1.493,1.258,0.159,1.01,0.11,1.12,0.49,2.898,3.67,2,126
"117","pig",-1.202,1.258,0.15,0.91,-0.79,0.81,-0.73,3.024,3.84,3,28
"118","pillow",-0.841,1.258,0.14,1.04,0.4,1.07,0.42,2.657,3.47,4,161
"119","pineapple",0.157,1.258,0.127,0.85,-2.11,0.73,-1.42,1.898,6.25,7,55
"120","pipe",-0.746,1.258,0.138,0.96,-0.39,0.76,-1.29,2.809,8.17,3,86
"121","pirate",0.311,1.258,0.127,0.99,-0.16,1,0.05,2.215,6.5,5,128
"122","plant",0.636,1.258,0.128,1.19,2.59,1.58,2.19,2.92,3.95,5,35
"123","pumpkin",0.02,1.258,0.128,0.89,-1.49,1.19,0.99,2.441,4.78,7,130
"124","pyramid",1.049,1.258,0.133,0.93,-1.05,0.87,-0.4,2,7.61,7,109
"125","queen",-0.699,1.258,0.137,0.96,-0.43,0.81,-0.97,3.075,4.42,4,103
"126","rake",-0.496,1.258,0.134,1.02,0.27,0.96,-0.17,1.944,5.32,3,51
